话题,单词,音标,中文,例句
交通工具,car,kɑː,汽车,I go to school by car. 我坐汽车去上学。
交通工具,bus,bʌs,公共汽车,The bus is coming. 公共汽车来了。
交通工具,bike,baɪk,自行车,I ride a bike. 我骑自行车。
交通工具,train,treɪn,火车,The train is fast. 火车很快。
交通工具,plane,pleɪn,飞机,The plane flies high. 飞机飞得很高。
天气,sunny,ˈsʌni,晴朗的,It's sunny today. 今天天气晴朗。
天气,rainy,ˈreɪni,下雨的,It's rainy outside. 外面在下雨。
天气,cloudy,ˈklaʊdi,多云的,It's cloudy now. 现在多云。
天气,windy,ˈwɪndi,有风的,It's very windy. 风很大。
天气,snowy,ˈsnəʊi,下雪的,It's snowy in winter. 冬天会下雪。
运动,run,rʌn,跑步,I like to run. 我喜欢跑步。
运动,jump,dʒʌmp,跳,I can jump high. 我可以跳得很高。
运动,swim,swɪm,游泳,I swim in summer. 我夏天游泳。
运动,play,pleɪ,玩/运动,Let's play football. 我们踢足球吧。
运动,basketball,ˈbɑːskɪtbɔːl,篮球,I play basketball. 我打篮球。
职业,teacher,ˈtiːtʃə,教师,My mother is a teacher. 我妈妈是老师。
职业,doctor,ˈdɒktə,医生,The doctor is kind. 这位医生很和蔼。
职业,nurse,nɜːs,护士,She is a nurse. 她是护士。
职业,farmer,ˈfɑːmə,农民,The farmer works hard. 农民工作很辛苦。
职业,driver,ˈdraɪvə,司机,My father is a driver. 我爸爸是司机。
