话题,单词,音标,中文,例句
交通工具,car,kɑː,汽车,I go to school by car. 我坐汽车去上学。
交通工具,bus,bʌs,公共汽车,The bus is coming. 公共汽车来了。
交通工具,bike,baɪk,自行车,I ride a bike. 我骑自行车。
交通工具,train,treɪn,火车,The train is fast. 火车很快。
交通工具,plane,pleɪn,飞机,The plane flies high. 飞机飞得很高。
交通工具,ship,ʃɪp,轮船,The ship is on the sea. 轮船在海上。
交通工具,taxi,ˈtæksi,出租车,Take a taxi to the airport. 乘出租车去机场。
天气,sunny,ˈsʌni,晴朗的,It's sunny today. 今天天气晴朗。
天气,rainy,ˈreɪni,下雨的,It's rainy outside. 外面在下雨。
天气,cloudy,ˈklaʊdi,多云的,It's cloudy now. 现在多云。
天气,windy,ˈwɪndi,有风的,It's very windy. 风很大。
天气,snowy,ˈsnəʊi,下雪的,It's snowy in winter. 冬天会下雪。
天气,hot,hɒt,热的,It's hot in summer. 夏天很热。
天气,cold,kəʊld,冷的,It's cold in winter. 冬天很冷。
运动,run,rʌn,跑步,I like to run. 我喜欢跑步。
运动,jump,dʒʌmp,跳,I can jump high. 我可以跳得很高。
运动,swim,swɪm,游泳,I swim in summer. 我夏天游泳。
运动,play,pleɪ,玩/运动,Let's play football. 我们踢足球吧。
运动,basketball,ˈbɑːskɪtbɔːl,篮球,I play basketball. 我打篮球。
运动,football,ˈfʊtbɔːl,足球,Football is popular. 足球很受欢迎。
运动,dance,dɑːns,跳舞,I like to dance. 我喜欢跳舞。
职业,teacher,ˈtiːtʃə,教师,My mother is a teacher. 我妈妈是老师。
职业,doctor,ˈdɒktə,医生,The doctor is kind. 这位医生很和蔼。
职业,nurse,nɜːs,护士,She is a nurse. 她是护士。
职业,farmer,ˈfɑːmə,农民,The farmer works hard. 农民工作很辛苦。
职业,driver,ˈdraɪvə,司机,My father is a driver. 我爸爸是司机。
职业,cook,kʊk,厨师,The cook makes delicious food. 厨师做美味的食物。
职业,worker,ˈwɜːkə,工人,He is a worker. 他是工人。
地点,school,skuːl,学校,I go to school every day. 我每天上学。
地点,home,həʊm,家,I am at home. 我在家。
地点,park,pɑːk,公园,The park is beautiful. 公园很美。
地点,zoo,zuː,动物园,I like the zoo. 我喜欢动物园。
地点,hospital,ˈhɒspɪtl,医院,The hospital is big. 医院很大。
地点,library,ˈlaɪbrəri,图书馆,I read books in the library. 我在图书馆读书。
地点,supermarket,ˈsuːpəmɑːkɪt,超市,I buy food at the supermarket. 我在超市买食物。
